sub_num,sub_name,sub_label,sub_value
127,Matt Fisher,Q07 Responsible government use of AI,"There are two key actions the Australian government could undertake to improve its own responsible use of AI.First, Australians will worry about the use of AI by security and intelligence agencies. Australia should lead a 5-Eyes agreement about the appropriate use of AI by intelligence agencies, and create a public statement about what our “AI red lines” are. The statement would set out the things our security agencies might do and will never do with AI. The Inspector General of Intelligence and Security, and its counterparts across the five eyes, should then be specifically tasked with auditing the intelligence community for compliance with that public statement. This will give Australians confidence that we are not misusing AI or taking risky actions while protecting sensitive capabilities.Second, Australia needs to upskill the public service. This should include developing hubs of expertise in each Department so that the application of AI within the sphere of each Department’s respo"
127,Matt Fisher,Q09 Transparency requirements and scope,"To remain competitive, professionals and businesses will increasingly feel the pressure to leverage sophisticated “black-box” AI models. This short-term thinking has already resulted in numerous accounts of public backlash and distrust, including high-profile warnings from technology leaders themselves [1].For example, Apple’s credit card business came under fire for offering a woman one twentieth the credit limit offered to her husband. When she complained, an Apple representative simply told her, “I don’t know why, but I swear we’re not discriminating. It’s just the algorithm.” [2]More recently, two lawyers in the United States blamed ChatGPT for “tricking” them into including fictitious legal research in a court filing [3].These problems could easily have been prevented by using explainable AI systems which can show the rationale for their outputs.Such incidents are evidence that the regulatory environment is not incentivising businesses or professionals to use transparent decision-"
127,Matt Fisher,Q10 Ban on high-risk AI applications,"In February 2023, OpenAI CEO Sam Altman released a statement containing the following: “As our systems get closer to AGI, we are becoming increasingly cautious with the creation and deployment of our models. Our decisions will require much more caution than society usually applies to new technologies, and more caution than many users would like.” [1]It is very reassuring to see this acknowledgement expressed by Altman, and the Australian Government would be wise to heed such warnings. Unfortunately, it may not matter how much caution OpenAI shows, because their actions have triggered the arms race that AI safety experts have been concerned about for years [2, 3].In order to protect our nation, Australia should make an effort to impose a ban on the training of large-scale AI systems with a nontrivial expected chance of passing capabilities evaluations required to cause catastrophic risks to civilization (such as the Alignment Research Center’s tests for the capabilities required for aut"
127,Matt Fisher,Q11 Actions to increase public trust in AI,"There are tremendous concerns about AI among those with the greatest familiarity of its risks [1]; these concerns are being widely broadcasted in Australian media with alarming headlines such as:- SMH: “When the “Godfather of AI” warns you about his offspring, you listen.” [2] - Forbes Australia: “‘We knew AI could destroy the whole world and we wanted to figure out how to prevent that’: ChatGPT Founder;” [3] - Canberra Times: “UN chief backs idea of global AI watchdog” [4]These concerning signals are difficult for the public to ignore.It goes without saying that this is quite a different situation from one where concerns are being raised in isolation or by fringe-figures; this makes it inappropriate to treat “public education” as a significant part of the solution, as is referenced in the discussion paper.The process for building trust in AI should be thought of as similar to fostering public trust in bridges or aeroplanes. Due to their risks, advanced AI systems should only be deploy"
127,Matt Fisher,Q12 Trade impact of banning high-risk AI applications,"Advanced AI systems pose unprecedented risks that require a fundamental shift in perspective for regulators. We can no longer view AI solely as a commercial tool, but rather as the emergence of an autonomous force that will reshape society.To manage these risks, we must take preventative action before deployment occurs. This includes restricting access to resources required for developing advanced AI, and banning risky deployments absent regulatory approval.Specifically, we should immediately establish processes for:- Monitoring and limiting access to specialised AI computing hardware that poses proliferation risks - Requiring government approval before deploying advanced AI systems - Criminalising unauthorised deployment of advanced AI systemsAdopting this preventative approach to governing AI is prudent risk management. It allows us Australia to have autonomy about our risks, rather than having foreign companies and countries create risks for us, and us having to react too late. Proa"
127,Matt Fisher,Q13 Changes to conformity infrastructure,"World-renowned AI experts such as Yoshua Bengio are warning that there’s a chance “superhuman” AI might be coming as early as 2030 [1]. Although there stand to be significant benefits from deploying advanced AI systems, their deployment will need to be highly targeted and controlled.While the productivity gains from advanced AI systems could be immense, uncontrolled proliferation would pose threats from likely scenarios such as malicious use or rogue AI systems [2]. As such, any deployment of advanced AI systems in Australia should occur via secure data centres, with access provided through a centralised API that facilitates monitoring and accountability by providing metadata about usage.Stringent compliance requirements must also be implemented for any organisation granted access to advanced AI systems. AI Governance researchers recommend that regulators should develop audit trail requirements in safety-critical applications of AI, similar to flight data recorders that are standard in"
127,Matt Fisher,Q14 Risk-based approach to address AI risks,"The regulation of AI needs to be “risk-based” in the same way that the regulation of vehicles is risk-based. We are right to regulate push-bikes and passenger jets in very different ways.A limitation of the risk management approach in the discussion paper, specifically Box 4 and Attachment C, is that it focuses only on how an AI is used and disregards the nature of the AI itself.An effective regulatory regime for a high-risk activity will regulate both the technology itself and how it is used. The Australian Human Rights Commission [1], in discussing this issue (“Human Rights and Technology”, 2021), says:Governments tend to regulate high-risk activities and technologies more closely. This helps explain the comparatively strict laws that govern fields such as gene technology, aviation, healthcare and the energy industry. In these areas, regulation often applies both to the technology itself and how it is used. From a human rights perspective, the need for more prescriptive regulation wi"
127,Matt Fisher,Q15 Benefits and limitations of risk-based approach,"The key to success is understanding risks sufficiently broadly to encourage caution in an uncertain future. It is not enough to only react once the risk has been actualised - for some risks that’s too late.A potential “worse-case scenario” is if a culture of “trial and error” is adopted, whereby adverse events occur before risks are considered tangible enough to act upon. This reliance on post-hoc interventions risks normalising unsafe development practices, making it difficult to recover once risks proliferate.Proliferation of risks is a key point in governing AI, because regulating software poses significant challenges compared to other dual-use commodities such as pharmaceuticals or firearms. This means that, from the outset, there must be proactive regulatory oversight for the deployment of advanced AI systems and their precursors.For example, significant structural changes, such as the use of advanced AI systems in Australia, require that risks must be comprehensively understood p"
127,Matt Fisher,Q16 Scope and application of risk-based approach,"The most important organisations to focus on when developing risk-management strategies and regulations, will be those that determine how advanced AI is developed and deployed. More specifically, there are three prominent categories of concern:1. Organisations that develop advanced AI systems, or AI systems that can be used to build more advanced AI systems (i.e. precursor systems such as LLMs). Examples include OpenAI, DeepMind, Anthropic, Inflection AI, Nvidia, Microsoft, Meta 2. Organisations which provide access to open-source AI systems via downloads or APIs. E.g. Hugging Face, Github, AWS 3. Organisations which provide compute resources to develop, fine-tune or use AI systems. E.g. AWS, HuggingFace, Google, Azure, Nvidia, Lambda LabsA majority of the benefits and risks will come from AI that is more sophisticated and generally capable, which can be tied back to organisations in these three categories.There are approaches which can be taken for each category in order to manage ris"
127,Matt Fisher,Q18 Integration of risk-based approach into existing frameworks,"Some areas of regulation, like the Racial, Sex, Age, and Disability Discrimination Acts are appropriately strong and may provide useful safeguards against some harms of AI. Specifically, the law should ensure that such discrimination is always wrong and always punishable, and an excuse that the discrimination occurred because of a “black box” AI provided by an overseas AI Lab should never be accepted. It would be helpful to communicate these requirements to Australian businesses that might deploy AIs and ensure they only contract with AI Labs for products where the Lab can ensure the product cannot engage in these harmful behaviours.Certainly, no AI-specific regulation should ever waive existing safeguards.That said, many of the emerging risks from AI are quite new and it’s reasonable to expect that regulation made without AI in mind is not tuned to the new risks that AI represents. Specific AI safety regulation is unavoidable."
127,Matt Fisher,Q19 Application of risk-based approach to general purpose AI,"The risk-based approach must be modified to address risks from general purpose AI systems, especially LLMs and MFMs. These types of systems learn their capabilities and behaviours during training, which can be unforeseen by developers. That means that AI developers could create models with dangerous capabilities (e.g., deception, manipulation, political strategy, weapons design). Humans could misuse those capabilities to cause harm [1], and models could apply the capabilities even without deliberate misuse (e.g., through misalignment) [2].Consistent with recent work from a consortium of AI safety researchers, including at Google Deepmind, OpenAI, Anthropic, Alignment Research Center, University of Cambridge, University of Oxford, Centre for Long-Term Resilience, and Centre for the Governance of AI [1], we recommend that any risk-based approach require that general purpose models are evaluated for dangerous capabilities and misalignment. This will help determine:1. To what extent a mode"
127,Matt Fisher,Q20 Voluntary vs mandated compliance with risk-based approach,"The harms of AI could emerge equally from private or public organisations, and the appropriate safety and risk management mechanisms will need to be in place in both cases. There’s no basis for distinguishing between their regulatory status in general. There may be case-by-case instances where exceptions may make sense, for instance, in the case of certain types of research.Regulation should also apply to both developers and deployers - following the general principle that those best able to mitigate a risk should carry the corresponding regulatory burden. Where developers offer a “black box” product that deployers typically do not have the capability or capacity to meaningfully alter, the bulk of the obligation should rest on developers.Penalties also need to be commensurate with the income earned from the AI applications so that non-compliance with regulation never becomes a “cost of doing business” or “risk-managed” by deployers. Technical transparency and assurance measures will ne"
128,Anonymous,Q01 Definitions,"**Proposed definitions are “circular”, undervalue “intelligence” and wrongly assume AI is always human-directed**:The definitions in “Figure 1” represent a limited understanding of “intelligence”. The proposed definition limits “intelligence” to the generation of mere “predictive outputs”. While there is a sense in which current LLMs are working to “predict the next word” or narrow AIs are trying to do various kinds of prediction (e.g. whether a scan shows a disease or which move in a game is best), this is a narrow understanding of what current and future AI systems do. A more future-proof way to understand machine intelligence is through closer comparison to human intelligence. The definition should include the ability to understand, plan and achieve goals in the world.The definition of AI in “Figure 1” is also wrong to limit the scope of “intelligence” to “human-defined objectives or parameters”. This is wrong for at least two reasons:1. **First, a definition that assumes AIs pursue"
128,Anonymous,Q02 Other AI risks and recommendations for regulation,"To answer the first part of the question, **Australia must acknowledge misuse and unintended harms as potentially catastrophic risks from AI**.Missing risks include (1) misuse of highly capable AI systems, and (2) unintended harm from highly capable AI systems, especially systems with the capacity to plan and act as agents acting in ways that are not aligned with human directives. Although the likelihood of the risks may be uncertain, the harms resulting from these risks may be catastrophic and global in scope and must be acknowledged and addressed.The statement “Mitigating the risk of extinction from AI should be a global priority alongside other societal-scale risks such as pandemics and nuclear war” has recently been signed by the heads of leading AI labs (OpenAI, Google DeepMind, Anthropic, Stability AI) as well as many key academic and other researchers pivotal in developing this technology (Geoffrey Hinton, Yoshua Bengio, etc.) and other notable figures such as Bill Gates [1]. Si"
128,Anonymous,Q03 Non-regulatory actions to address AI risks,"**Ambitious investment in AI safety research, especially mechanistic and developmental interpretability**The key non-regulatory function Australia could perform is greatly increasing the funding for AI safety research in Australian universities.Research priorities should appreciate the rapid pace of AI development. By funding research that is ambitious, ahead of the curve, and focused on transformative approaches, rather than incremental, near-term, or near-to-market innovations, Australia could become an enduring global leader on key aspects of AI safety.A focus on mechanistic interpretability, or the 5 elements of effective traceability (Design Transparency; Reproducibility; Operational Recordkeeping; Human Understanding and Auditability) [1], could make Australia a leader in the field, underpin safety-focused global regulation, and ultimately give Australia an important ‘seat at the table’ as AI development continues to unfold. A key goal of Australian leadership should be securing "
128,Anonymous,Q04 Coordinating AI governance across government,"**The Australian government has an obligation to meet the safety expectations of the Australian community. Aviation safety is a good analogy**While the most advanced AIs will likely not be created in Australia, they will be used in Australia, by Australian companies and by everyday Australians. Users will rightly expect and assume that robust safety-focused assurance effort has occurred. Government has an obligation to ensure that expectation is delivered.Consider air travel in Australia: While Australia does not build the largest aeroplanes, we monitor the safety of these craft by setting standards, monitoring compliance, and can revoke the licence of airlines that don’t comply with our regulations. Because of this government effort, Australians feel safe when they fly.Similarly, an Australian government body overseeing the use of applications based on large AIs could issue or revoke licences, set minimum safety standards, and require companies to publish independent evaluations of th"
128,Anonymous,Q05 International models for AI governance,"**EU’s Centre for Algorithmic Transparency and the importance of interpretability**Jurisdictions are beginning to create national AI labs to test, understand and control safe AI, collaborating with the private sector and complementing its work. In the same way that national aviation safety expertise has formed an internationally collaborative network, national AI labs are likely to do the same thing. Australia needs to begin this process now.One of the most important and notable examples of Governmental organisation globally has been the launch of the EU’s Centre for Algorithmic Transparency, which has been formed to enforce the Digital Services Act. The new research centre aims to combat the “systemic risk” to society that stems from algorithms - including recommender systems and AI.To prepare for a future in which AI-based decision systems might become a core part of society, Australia should adopt a broad version of this concept to understand and shape the implications of algorithms"
128,Anonymous,Q06 Public vs Private sector governance,"The potential negative impacts on Australians from the use of AI are the same whether the provider is a private company or a government department.Some of the most significant individual and societal harms, as well as catastrophic risks from highly capable AI systems may emerge from public OR private use, meaning that any approach must acknowledge and manage these risks."
128,Anonymous,Q07 Responsible government use of AI,"As AI becomes more central to how Australia functions as a nation, the skills and capabilities of the Australian public service should be shaped to align with this transformation. As technical systems continue to become more sophisticated and prevalent throughout society, a deep understanding of them will be essential across all policy domains.Unfortunately, the current structure of the APS is not effective for hiring or retaining technical talent [1]. For example, the average base pay for a machine learning engineer [2] is typically above the EL1 threshold [3], and attracting and retaining an experienced expert in cutting-edge AI systems would likely require far greater compensation.To ensure that Australia’s policy decisions are equipped to capture benefits and mitigate risks in the 21st century, there should be specific initiatives for attracting elite global AI talent into senior positions across Government.The emphasis on attracting global talent is important because Australia its"
128,Anonymous,Q08 Generic vs technology-specific approaches for AI risk,"Generic measures such as transparency requirements and legal liability frameworks will only be adequate for mitigating risks in simple decision systems which perform single-step information processing and pattern matching, or routine tasks in limited settings [1]; examples of simple systems may include automated robotic systems in manufacturing, or CV screening systems in HR.By contrast, there will need to be specific measures in place to ensure that sophisticated automated decision systems are safe and reliable. “Advanced” systems refers to AI systems which: 1. Are able to complete a diverse range of reasoning tasks with human-level performance; and 2. Are able to navigate complex information environments and act within those environments autonomously; and 3. Are able to form sophisticated plans and reason about the consequences of actionsDue to their autonomous and open-ended capabilities, advanced systems carry complex risks which are more similar to those associated with humans; fo"
128,Anonymous,Q09 Transparency requirements and scope,"The recent focus for transparency has been on ensuring that consumers are notified when a decision made by AI affects them directly (e.g. hiring/firing, loan approval). While this is helpful, it is only the first step in protecting the public.In circumstances where the use of AI for decision-making is commonplace, it will be of little value for consumers to know “when” an AI system makes a decision that affects them. This might happen many times each day. Rather, they should be informed “how” the decision is made. This will allow consumers to more easily identify unsafe or unfair systems.Having models which are both accurate and explainable has long been an issue for businesses [1], but the recent advancements of “black-box models” is encouraging developers and providers to simply tolerate the risks that come from lack of explainability. As AI capabilities continue to outstrip their explainability [2], the risks of this approach will grow significantly. The fact that explainability is "
128,Anonymous,Q10 Ban on high-risk AI applications,"Although there is increasing recognition that AI will pose significant risks to public safety [1], there is widespread confusion about what types of AI are dangerous, and how Australia can help prevent these risks. Luckily, there is a significant body of evidence that describes the main source of these risks [2], and Australia is well-positioned to be a leader in mitigating them.Research shows that two of the main sources of risk are deception and power-seeking behaviour:- Deceptive behaviour in AI systems will become increasingly difficult to avoid as their capabilities advance. This problem has been observed in AI systems since at least 2017, when researchers at OpenAI noted “agents adopting (strategies) that trick the evaluators” [3].- Power-seeking behaviour is the natural tendency for any entity with a long-term goal to take actions that protect or enhance its ability to achieve that goal. Leading AI labs and journals advise that power-seeking behaviour will be a considerable sour"
128,Anonymous,Q11 Actions to increase public trust in AI,"**The best way to be trusted is to be genuinely trustworthy**There are tremendous concerns about AI among those with the greatest familiarity of its risks [1]; these concerns are being widely broadcasted in Australian media with alarming headlines such as: - SMH: “When the “Godfather of AI” warns you about his offspring, you listen.” [2] - Forbes Australia: “‘We knew AI could destroy the whole world and we wanted to figure out how to prevent that’: ChatGPT Founder;” [3] - Canberra Times: “UN chief backs idea of global AI watchdog” [4]These concerning signals are difficult for the public to ignore.It goes without saying that this is quite a different situation from one where concerns are being raised in isolation or by fringe-figures; this makes it inappropriate to treat “public education” as a significant part of the solution, as is referenced in the discussion paper.The process for building trust in AI should be thought of as similar to fostering public trust in bridges or aeroplanes."
128,Anonymous,Q12 Trade impact of banning high-risk AI applications,"This question misunderstands both the sources of risk and the interests of Australians.There are two potential sources of risk both of which need to be mitigated. The first source of risk, as identified in the question, is the use case. Some uses for AI are risky and should be restricted or banned. The second source of risk is the technology itself. Some kinds of technology are inherently risky, and merely restricting a use case does not adequately mitigate the risk.We understand this clearly in other fields. We regulate both how safe a car must be and how a car can be used. We don’t let people speed in cars just because they have a high safety rating; and we don’t let safe drivers buy dangerous vehicles.The economic framing also misunderstands Australia’s national interests. We would never conceive of a conversation about whether our aviation sector would trade more successfully if we authorised airlines to use planes that are untested, experimental or known to be dangerous. Australia"
128,Anonymous,Q13 Changes to conformity infrastructure,"World-renowned AI experts such as Yoshua Bengio are warning that there’s a chance “superhuman” AI might be coming as early as 2030 [1]. Although there stand to be significant benefits from deploying advanced AI systems, their deployment will need to be highly targeted and controlled.While the productivity gains from advanced AI systems could be immense, uncontrolled proliferation would pose threats from likely scenarios such as malicious use or rogue AI systems [2]. As such, any deployment of advanced AI systems in Australia should occur via secure data centres, with access provided through a centralised API that facilitates monitoring and accountability by providing metadata about usage.Stringent compliance requirements must also be implemented for any organisation granted access to advanced AI systems. AI Governance researchers recommend that regulators should develop audit trail requirements in safety-critical applications of AI, similar to flight data recorders that are standard in"
128,Anonymous,Q14 Risk-based approach to address AI risks,"I support a risk-based approach, however the catastrophic and existential risks I am primarily worried about originate when sufficiently large and capable AI systems are trained, not just when they are deployed. Therefore, for sufficiently large systems with the potential for catastrophic capabilities, the risk-based approach must be applied before the training phase – analysing risks depending on the nature and scale of the proposed training run, rather than merely analysing the potentially risky use cases and deployment issues of an AI after it has already been created and trained.Any assessment of risk should consider its potential irreversibility, scope and severity, and act proportionally.The risk-based approach set out in Attachment C of the Discussion Paper is hard to follow. The proposed approach offers “human in the loop” as the key mitigation (unclear that this is an effective mitigation) and goes on to note that human in the loop may not be possible where the benefit of the "
128,Anonymous,Q15 Benefits and limitations of risk-based approach,"While a risk-based approach to regulating AI is sensible, there are two emerging elements of risk practice that any risk-based model should account for to succeed in this context: 1. Factoring in “uncertainty”, not just “likelihood” 2. Taking a “portfolio” approach to risk mitigationA traditional risk matrix will consider scenarios against their likelihood of occurring, the vulnerability of the system to the scenario, and the consequence of the scenario occurring. It might then discount that risk by the strength of existing or possible mitigations.This approach to risk has historically been unsuccessful for scenarios where assessing “likelihood” is challenging. For instance, many national risk assessments failed to take into account the possibility of a global pandemic before COVID-19. A solution to this failure mode is including “uncertainty”. Specifically, where we can't be sure what the future will bring, that should be cause for significant concern. This is the opposite of the appr"
128,Anonymous,Q16 Scope and application of risk-based approach,"The most important organisations to focus on when developing risk-management strategies and regulations, will be those that determine how advanced AI is developed and deployed. More specifically, there are three prominent categories of concern: 1. Organisations that **develop advanced AI systems**, or AI systems that can be used to build more advanced AI systems (i.e. precursor systems such as LLMs). Examples include OpenAI, DeepMind, Anthropic, Inflection AI, Nvidia, Microsoft, Meta 2. Organisations which **provide access** to open-source AI systems via downloads or APIs. E.g. Hugging Face, Github, AWS 3. Organisations which **provide compute** resources to develop, fine-tune or use AI systems. E.g. AWS, HuggingFace, Google, Azure, Nvidia, Lambda LabsA majority of the benefits and risks will come from AI that is more sophisticated and generally capable, which can be tied back to organisations in these three categories.There are approaches which can be taken for each category in order "
128,Anonymous,Q17 Elements to include in risk-based approach,"In general, Attachment C falls short of the necessary detail to understand the range of risks that have and will emerge as well as the range of specificity of mitigations necessary to control them.Attachment C would benefit from: - Distinguishing between scenarios where the use case is the potential risk (such as social scoring); scenarios where dual-use capability and misuse is the potential risk (bioengineering, producing misinformation and disinformation, enhancing criminal capability and capacity); and where the technology alone is the risk (technology with features like being deceptive, being power-seeking, being incorrigible etc). - Distinguishing between the point of regulatory intervention - the developer, the deployer, the user, or elsewhere, and - Offering a much wider range of mitigations that target different kinds of risks.Some elements of attachment C are promising, like “explanations” and “ongoing monitoring” - but these need to be greatly expanded and based on current A"
128,Anonymous,Q18 Integration of risk-based approach into existing frameworks,"Some areas of regulation, like the Racial, Sex, Age, and Disability Discrimination Acts are appropriately strong and may provide useful safeguards against some harms of AI. Specifically, the law should ensure that such discrimination is always wrong and always punishable, and an excuse that the discrimination occurred because of a “black box” AI provided by an overseas AI Lab should never be accepted. It would be helpful to communicate these requirements to Australian businesses that might deploy AIs and ensure they only contract with AI Labs for products where the Lab can ensure the product cannot engage in these harmful behaviours.Certainly, no AI-specific regulation should ever waive existing safeguards.That said, many of the emerging risks from AI are quite new and it’s reasonable to expect that regulation made without AI in mind is not tuned to the new risks that AI represents. Specific AI safety regulation is unavoidable."
128,Anonymous,Q19 Application of risk-based approach to general purpose AI,"The capabilities unlocked by general-purpose AI systems, like large language models (LLMs) and multimodal foundation models (MFMs), fundamentally change the risk landscape. We should anticipate these systems having large, unpredictable effects across all parts of society.A prudent approach is to implement a risk-based framework, where access is graduated based on model capabilities. Models above a certain threshold of autonomous capabilities would be designated as ""advanced systems"" and subject to additional governance, such as permits for users.Further, permits should be required to gain certain levels of access to AI systems which can be used to build advanced systems.Permits allow us to maintain oversight, while still enabling beneficial uses. Different permissions can be granted based on use case - for example, full access for safety testing versus API-only access for most commercial uses. This balances innovation and responsibility.Although this may seem very different to how AI i"
128,Anonymous,Q20 Voluntary vs mandated compliance with risk-based approach,"**Big changes are coming, and a voluntary scheme will be too little too late.**AI is very likely to greatly transform the economy and society in coming years. Ethics and safety are unlikely to be a priority during this time unless they are actively made a strategic focus by clear leadership. Historic examples include how social media algorithms came to shape our lives, and the negative impacts to mental health and social cohesion only became apparent much later and still have not been adequately addressed. Similarly, while the destructive potential of nuclear was apparent early on, the “arms race” mentality, as well as potential economic benefits, swept humanity along towards the current risky situation that no one in the early 1940s could have conceived of. In that way, history teaches us that it’s critical that ethics and safety take centre stage from day one.The economic and technological forces are likely to be so strong that a scheme that is voluntary or driven by aspirational bes"
129,Anonymous,General comment,I believe it is imperative that the Australian government make strong laws governing all areas of development and use of A.I.in our country.
130,Anonymous,Q01 Definitions,"The foreword of ISO/IEC 22989 calls out a weakness of the definition set for purposes like those being pursued in this paper. Specifically, the standard says it is currently lacking language for comparing AIs in terms of properties like trustworthiness, robustness, resilience, reliability, accuracy, safety, security and privacy. In this way, definition does not effectively support an important conversation about AI in its current form, AI developments in the future for people’s benefit, unethical AI, and seriously unsafe or dangerous AI. A definition that leaves open the door to other considerations about the intelligence and capacity of AI as well as its features, such as corrigibility, size, narrow or general, multimodality, temporal awareness, and other features that have emerged from current and future research. For example, the definition from the Multimodal Foundation Modals (MFM) or the National Institute of Standards and Technology’s “The Language of Trustworthy AI” and researc"
130,Anonymous,Q02 Other AI risks and recommendations for regulation,"Artificial intelligence can plausibly become a serious, catastrophic risk to people where it develops into having significant capability. These risks have been acknowledged by signatories of the Future of Life Open Letter [1], the Prime Minister of the United Kingdom, Rishi Sunak [2], and Secretary-General of the United Nations, António Guterres [3]. Risks where there is intentional or unintentional use of highly capable AI is not addressed in the current approach. Even where these risks are low in absolute terms, they should be considered due to their high potential impact. It would be important for us to have the regulatory framework to address these catastrophic risks before it can occur, out of precaution. [1] https://futureoflife.org/open-letter/ai-open-letter/ [2] https://www.theguardian.com/technology/2023/may/25/no-10-acknowledges-existential-risk-ai-first-time-rishi-sunak [3] https://press.un.org/en/2023/sgsm21832.doc.htm"
130,Anonymous,Q03 Non-regulatory actions to address AI risks,"There are three streams of work that the Government can pursue to help tackle the potential for catastrophic risks from future AI technology. Publicly acknowledge the risk. Australia must join the growing number of countries and global governance bodies that acknowledge the possibility of catastrophic and existential risks from increasingly powerful AIs. There’s no chance of solving a problem unless we acknowledge it. This is a necessary first step. 1. Lead the establishment of global governance arrangements that are specifically tasked with tackling the possible catastrophic risks from AI. This could involve: - Fostering cultures of fairness, accountability and transparency by the companies and countries developing more advanced AIs. We need to work to avoid an ‘arms race’ that prioritises speed over safety, including making sure that risky decisions with broader implications aren’t made behind closed doors. This is the equivalent of developing a safety culture inside AI organisations"
130,Anonymous,Q04 Coordinating AI governance across government,"Australia should establish an AI Commission to guide Australia through the rapid and widespread adoption of AI. Such a body must be proactive, not reactive, and manage AI in a way that aligns with the national interest, encompassing citizen safety and wellbeing. The AI Commission would provide a central point of leadership for Government, and be a hub for engagement with industries, academia, non-profits, and the community. This structure holds an advantage over other approaches such as voluntary self-governance or departmental-level teams, as it offers a broader perspective, the authority to lead across government, and the agility to keep pace with the fast-evolving AI sector. - Set priorities in Australia's approach to AI and safety: The Commission should be tasked with establishing a clear and focused AI strategy, encompassing ethical, safety, and economic considerations. This strategy would guide government policy, and inform regulations and legal frameworks for AI. - Develop AI ex"
130,Anonymous,Q05 International models for AI governance,"Australia should take note of the EU recent handling of the AI Act. For example, the European Parliament’s recognition of general-purpose AI (GPAI) is an important step in the right direction [1]. In particular, the following observations are highly valuable:- Acknowledgement that GPAI providers must comply with strict safety measures, regardless of the way it is distributed or intended to be used.- Requirements for GPAI providers to comply with various safety requirements throughout the lifecycle of their product; i.e. external audits assessing their performance, predictability, interpretability, corrigibility, safety and cybersecurity.These adjustments appear to respond to significant criticisms directed at initial drafts of the AI Act. For example, the AI Now Institute released a set of recommendations that heavily criticised the EU’s approach on some matters [2]. For example:- “GPAI models carry inherent risks and have caused demonstrated and wide-ranging harms. While these risks c"
130,Anonymous,Q06 Public vs Private sector governance,"There may be some slight differences to incorporate the values and purpose of different sectors in the implementation of AI. However, potential negative impacts, including catastrophic or existential risks, may emerge from public or private use. As such, risk management needs to be done in all areas AI is deployed."
130,Anonymous,Q07 Responsible government use of AI,"There are two key actions the Australian government could undertake to improve its own responsible use of AI.First, Australians will worry about the use of AI by security and intelligence agencies. Australia should lead a 5-Eyes agreement about the appropriate use of AI by intelligence agencies, and create a public statement about what our “AI red lines” are. The statement would set out the things our security agencies might do and will never do with AI. The Inspector General of Intelligence and Security, and its counterparts across the five eyes, should then be specifically tasked with auditing the intelligence community for compliance with that public statement. This will give Australians confidence that we are not misusing AI or taking risky actions while protecting sensitive capabilities.Second, Australia needs to upskill the public service. This should include developing hubs of expertise in each Department so that the application of AI within the sphere of each Department’s respo"
130,Anonymous,Q09 Transparency requirements and scope,"To remain competitive, professionals and businesses will increasingly feel the pressure to leverage sophisticated “black-box” AI models. This short-term thinking has already resulted in numerous accounts of public backlash and distrust, including high-profile warnings from technology leaders themselves [1].For example, Apple’s credit card business came under fire for offering a woman one twentieth the credit limit offered to her husband. When she complained, an Apple representative simply told her, “I don’t know why, but I swear we’re not discriminating. It’s just the algorithm.” [2]More recently, two lawyers in the United States blamed ChatGPT for “tricking” them into including fictitious legal research in a court filing [3].These problems could easily have been prevented by using explainable AI systems which can show the rationale for their outputs.Such incidents are evidence that the regulatory environment is not incentivising businesses or professionals to use transparent decision-"
130,Anonymous,Q10 Ban on high-risk AI applications,"Although there is increasing recognition that AI will pose significant risks to public safety [1], there is widespread confusion about what types of AI are dangerous, and how Australia can help prevent these risks. Luckily, there is a significant body of evidence that describes the main source of these risks [2], and Australia is well-positioned to be a leader in mitigating them.Research shows that two of the main sources of risk are deception and power-seeking behaviour:- Deceptive behaviour in AI systems will become increasingly difficult to avoid as their capabilities advance. This problem has been observed in AI systems since at least 2017, when researchers at OpenAI noted “agents adopting (strategies) that trick the evaluators” [3].- Power-seeking behaviour is the natural tendency for any entity with a long-term goal to take actions that protect or enhance its ability to achieve that goal. Leading AI labs and journals advise that power-seeking behaviour will be a considerable sour"
130,Anonymous,Q11 Actions to increase public trust in AI,"There are tremendous concerns about AI among those with the greatest familiarity of its risks [1]; these concerns are being widely broadcasted in Australian media with alarming headlines such as:- SMH: “When the “Godfather of AI” warns you about his offspring, you listen.” [2]- Forbes Australia: “‘We knew AI could destroy the whole world and we wanted to figure out how to prevent that’: ChatGPT Founder;” [3]- Canberra Times: “UN chief backs idea of global AI watchdog” [4]These concerning signals are difficult for the public to ignore.It goes without saying that this is quite a different situation from one where concerns are being raised in isolation or by fringe-figures; this makes it inappropriate to treat “public education” as a significant part of the solution, as is referenced in the discussion paper.The process for building trust in AI should be thought of as similar to fostering public trust in bridges or aeroplanes. Due to their risks, advanced AI systems should only be deployed"
130,Anonymous,Q12 Trade impact of banning high-risk AI applications,"This question misunderstands both the sources of risk and the interests of Australians.There are two potential sources of risk both of which need to be mitigated. The first source of risk, as identified in the question, is the use case. Some uses for AI are risky and should be restricted or banned. The second source of risk is the technology itself. Some kinds of technology are inherently risky, and merely restricting a use case does not adequately mitigate the risk.We understand this clearly in other fields. We regulate both how safe a car must be and how a car can be used. We don’t let people speed in cars just because they have a high safety rating; and we don’t let safe drivers buy dangerous vehicles.The economic framing also misunderstands Australia’s national interests. We would never conceive of a conversation about whether our aviation sector would trade more successfully if we authorised airlines to use planes that are untested, experimental or known to be dangerous. Australia"
